"Product ID";"Active (0/1)";Name;Categories;"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;Tags;"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse
11;1;"Hummingbird cushion";"На Головну";22.68;1;0.000000;;;;;;demo_17;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;600;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Cushion with removable cover and invisible zip on the back. 32x32cm</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-weight:normal;font-style:normal;color:#000000;"">The hummingbird cushion will add a graphic and colorful touch to your sofa, armchair or bed. Create a modern and zen atmosphere that inspires relaxation. Cover 100% cotton, machine washable at 60° / Filling 100% hypoallergenic polyester.</span></p>";;;;;hummingbird-cushion;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/13/hummingbird-cushion.jpg,http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/14/hummingbird-cushion.jpg;0;;;new;;;;2;1;;;
12;1;"Mountain fox - Vector graphics";"На Головну";10.8;1;0.000000;;;;;;demo_18;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;300;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Vector graphic, format: svg. Download for personal, private and non-commercial use.</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">You have a custom printing creative project? The vector graphic Mountain fox illustration can be used for printing purpose on any support, without size limitation. </span></p>";;;;;mountain-fox-vector-graphics;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/15/mountain-fox-vector-graphics.jpg;0;;;new;;;;1;1;;;
13;1;"Brown bear - Vector graphics";"На Головну";10.8;1;0.000000;;;;;;demo_19;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;300;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Vector graphic, format: svg. Download for personal, private and non-commercial use.</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">You have a custom printing creative project? The vector graphic Mountain fox illustration can be used for printing purpose on any support, without size limitation. </span></p>";;;;;brown-bear-vector-graphics;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/16/brown-bear-vector-graphics.jpg;0;;;new;;;;1;1;;;
14;1;"Hummingbird - Vector graphics";"На Головну";10.8;1;0.000000;;;;;;demo_20;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;300;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Vector graphic, format: svg. Download for personal, private and non-commercial use.</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">You have a custom printing creative project? The vector graphic Mountain fox illustration can be used for printing purpose on any support, without size limitation. </span></p>";;;;;hummingbird-vector-graphics;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/17/hummingbird-vector-graphics.jpg;0;;;new;;;;1;1;;;
15;1;"Pack Mug + Framed poster";"На Головну";42;1;0.000000;;;;;;demo_21;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;100;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Mug The Adventure Begins + Framed poster Today is a good day 40x60cm </span></p>";;;;;;pack-mug-framed-poster;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/23/pack-mug-framed-poster.jpg;0;;;new;;;;2;1;;;
16;1;"Mountain fox notebook";"На Головну";15.48;1;0.000000;;;;;;demo_8;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">120 sheets notebook with hard cover made of recycled cardboard. 16x22cm</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The Mountain fox notebook is the best option to write down your most ingenious ideas. At work, at home or when traveling, its endearing design and manufacturing quality will make you feel like writing! 90 gsm paper / double spiral binding.</span></p>";;;;;mountain-fox-notebook;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/18/mountain-fox-notebook.jpg;0;;;new;;;;2;1;;;
17;1;"Brown bear notebook";"На Головну";15.48;1;0.000000;;;;;;demo_9;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">120 sheets notebook with hard cover made of recycled cardboard. 16x22cm</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The Mountain fox notebook is the best option to write down your most ingenious ideas. At work, at home or when traveling, its endearing design and manufacturing quality will make you feel like writing! 90 gsm paper / double spiral binding.</span></p>";;;;;mountain-fox-notebook;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/19/mountain-fox-notebook.jpg;0;;;new;;;;2;1;;;
18;1;"Hummingbird notebook";"На Головну";15.48;1;0.000000;;;;;;demo_10;;;"Graphic Corner";;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">120 sheets notebook with hard cover made of recycled cardboard. 16x22cm</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">The Mountain fox notebook is the best option to write down your most ingenious ideas. At work, at home or when traveling, its endearing design and manufacturing quality will make you feel like writing! 90 gsm paper / double spiral binding.</span></p>";;;;;mountain-fox-notebook;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/20/mountain-fox-notebook.jpg;0;;;new;;;;2;1;;;
19;1;"Customizable mug";"На Головну";16.68;1;0.000000;;;;;;demo_14;;;"Studio Design";;;0.000000;0.000000;0.000000;0.000000;0.000000;300;1;both;0.00;;;"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">White Ceramic Mug. 325ml</span></p>";"<p><span style=""font-size:10pt;font-family:Arial;font-style:normal;""><span style=""font-size:10pt;font-family:Arial;font-style:normal;"">Customize your mug with the text of your choice. A mood, a message, a quote... It's up to you! Maximum number of characters:</span><span style=""font-size:10pt;font-family:Arial;font-style:normal;color:#ff9900;""> ---</span></span></p>";;;;;customizable-mug;;;1;0000-00-00;2018-09-09;1;http://sierrademopresta.xn----7sbbighlkm9ahj2air.xn--j1amh/22/customizable-mug.jpg;0;;;new;1;;1;2;1;;;
91;1;;"На Головну";0;1;0.000000;;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
92;1;;"На Головну";0;1;0.000000;;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
93;1;;"На Головну";0;1;0.000000;;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
94;1;;"На Головну";0;1;0.000000;;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
95;1;;"На Головну";0;1;0.000000;;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
96;1;;"На Головну";0;1;0.000000;;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
97;1;;"На Головну";0;1;0.000000;;;;;;;;;;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;;;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
98;1;;legkakhoda;0;1;133.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"106 14 маріне";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
99;1;;" ТМ Legkak Hoda";0;1;134.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"106 14 чорний";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
100;1;;"ТМ Legka Khoda";0;1;135.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"106 16 рожевий";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
101;1;;"ТМ Legka Khoda";0;1;136.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"106 16 чорний";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
102;1;;"ТМ Legka Khoda";0;1;137.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"106 18 рожевий";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
103;1;;"ТМ Legka Khoda";0;1;138.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"123 140-146,68-72,1 тілесний";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
104;1;;"ТМ Legka Khoda";0;1;139.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"147 68,44,11 білий";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
105;1;;"ТМ Legka Khoda";0;1;140.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"147 68,44,11 маріне";дитячі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
106;1;;"ТМ Legka Khoda";0;1;141.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2013 158,104-108,23 чорний";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
107;1;;"ТМ Legka Khoda";0;1;142.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 2 сірий";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
108;1;;"ТМ Legka Khoda";0;1;143.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 2 чорний";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
109;1;;"ТМ Legka Khoda";0;1;144.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 3 сірий";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
110;1;;"ТМ Legka Khoda";0;1;145.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 3 чорний";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
111;1;;"ТМ Legka Khoda";0;1;146.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 4 сірий";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
112;1;;"ТМ Legka Khoda";0;1;147.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 4 чорний";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
113;1;;"ТМ Legka Khoda";0;1;148.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 5 сірий";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
114;1;;"ТМ Legka Khoda";0;1;149.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2067 5 чорний";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
115;1;;"ТМ Legka Khoda";0;1;150.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23 білий";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
116;1;;"ТМ Legka Khoda";0;1;151.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23 джинс";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
117;1;;"ТМ Legka Khoda";0;1;152.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23 маріне";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
118;1;;"ТМ Legka Khoda";0;1;153.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23 чорний";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
119;1;;"ТМ Legka Khoda";0;1;154.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23-25 білий";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
120;1;;"ТМ Legka Khoda";0;1;155.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23-25 джинс";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
121;1;;"ТМ Legka Khoda";0;1;156.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23-25 маріне";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
122;1;;"ТМ Legka Khoda";0;1;157.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 23-25 чорний";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
123;1;;"ТМ Legka Khoda";0;1;158.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 25 білий";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
124;1;;"ТМ Legka Khoda";0;1;159.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 25 джинс";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
125;1;;"ТМ Legka Khoda";0;1;160.000000;1;;;;;;;"TM Lehkahoda opt/rozniza";;;;0.000000;0.000000;0.000000;0.000000;0.000000;;1;both;0.00;;;;"2233 25 маріне";жіночі;;;;friendly-url-autogeneration-failed;;;1;0000-00-00;2018-09-12;1;;0;;;new;;;;;1;;;
